ica_best_comp,ica_qrs,ica_mean_fhr,ica_rel,ica_mae,ica_rmse,ica_rel_dist,record,reliability,mean_bpm_f,mean_real_bpm_f,isSuccess,sir_gain_dB,fSNR_dB,SIR,SNR,SE,PPV,F1,TP,FP,FN,ACC
3.0,69.0,150.77435586635448,0.5294117647058824,117.2536231884058,135.17094651813565,0.11594202898550725,a01.csv,0.36363636363636365,125.08179226846154,152.09149906830302,False,11.72855107588144,9.00213642402017,-8.496957586813892,-17.79764006748264,0.3241,0.5281,0.4017,47,42,98,0.2513
,,,,,,,a02.csv,0.3017241379310345,150.900062855774,160.42780748663102,False,8.524069508579267,9.545268359665473,,,0.2375,0.3248,0.2744,38,79,122,0.159
0.0,90.0,187.3945010180619,0.3707865168539326,117.44444444444444,137.66553671852662,0.15555555555555556,a03.csv,0.816793893129771,140.90355065001788,130.1518438177874,True,9.497521492706886,7.011657713722284,-2.0811733064769387,-4.822895050484119,0.9531,0.9242,0.9385,122,10,6,0.8841
1.0,80.0,162.54747960024693,0.5696202531645569,113.1125,132.90722798252924,0.15,a04.csv,0.9453125,130.2104378557717,128.75536480686694,True,8.703726930191259,8.059625495457949,2.139987216037244,-1.5801107434503783,0.9922,0.9922,0.9922,128,1,1,0.9846
1.0,83.0,167.01475223849602,0.5,115.09638554216868,131.91835280668462,0.10843373493975904,a05.csv,0.9465648854961832,135.50602918112546,128.6175110972236,True,7.743696794582862,7.0598784302518505,1.2570702633428577,-1.2109574312683762,0.9922,0.9697,0.9808,128,4,1,0.9624
2.0,89.0,184.60334551915966,0.43181818181818177,111.62359550561797,126.04697492459091,0.0898876404494382,a06.csv,0.4492753623188406,85.58274152769293,161.29032258064515,False,8.896088205988658,8.17093221100664,-5.191420264334062,-12.908895157579577,0.1375,0.3143,0.1913,22,48,138,0.1058
0.0,86.0,179.30874843820635,0.6823529411764706,115.15116279069767,133.5535777863509,0.10465116279069768,a07.csv,0.3626373626373627,124.91164227321893,130.43478260869566,False,8.26138362257576,7.744277230410789,-8.079589877976403,-14.268105836766884,0.1769,0.25,0.2072,23,69,107,0.1156
3.0,74.0,151.6876345181284,0.410958904109589,117.9054054054054,136.35179064028023,0.13513513513513514,a08.csv,0.952755905511811,127.99657902395454,127.65957446808511,True,6.633227671456416,6.651682984786511,1.3231051737715342,0.37902284798708574,0.9766,0.9766,0.9766,125,3,3,0.9542
3.0,4.0,146.09204614454745,0.6666666666666667,84.375,108.11423356801824,0.25,a09.csv,0.5321100917431192,129.1089165100039,130.1518438177874,False,7.859897972990014,15.00781800955997,-10.751968873066224,-15.79678652078045,0.2923,0.3455,0.3167,38,72,92,0.1881
3.0,81.0,170.65445209507877,0.22499999999999998,99.37654320987654,109.70219226457746,0.06172839506172839,a10.csv,0.44705882352941173,103.83778893119711,183.4862385321101,False,8.989856580659799,8.616596457665922,-6.180299923721728,-13.722557078452308,0.1429,0.2907,0.1916,25,61,150,0.1059
1.0,93.0,189.4998856831063,0.40217391304347827,112.72043010752688,128.46249609604277,0.11827956989247312,a11.csv,0.53,116.37322486083265,140.18691588785046,False,8.690501632352643,11.675223847102847,-10.367019631494967,-16.3019757999695,0.2143,0.297,0.249,30,71,110,0.1422
0.0,87.0,174.9806554464532,0.8488372093023255,106.94252873563218,123.84131949310417,0.12643678160919541,a12.csv,0.8768115942028986,145.7880789915336,136.36363636363637,True,9.543406133921044,7.967638150366897,-0.7752813011241086,-5.330609468137967,0.942,0.9353,0.9386,130,9,8,0.8844
